Periodos,Área geográfica,Demografía y Sociedad > Educación > Eficiencia terminal en educación media superior (Porcentaje de alumnos) Anual  /b /f2,Demografía y Sociedad > Educación > Eficiencia terminal en secundaria (Porcentaje) Anual  /a /f1
2000,00 Estados Unidos Mexicanos,57.01926223,74.92708482
2001,00 Estados Unidos Mexicanos,57.18483625,77.70156093
2002,00 Estados Unidos Mexicanos,59.25847162,78.40363366
2003,00 Estados Unidos Mexicanos,58.40129386,78.90000346
2004,00 Estados Unidos Mexicanos,58.01510387,78.40895371
2005,00 Estados Unidos Mexicanos,58.25158641,76.95774397
2006,00 Estados Unidos Mexicanos,58.01736173,78.16866913
2007,00 Estados Unidos Mexicanos,58.94114549,78.6361864
2008,00 Estados Unidos Mexicanos,60.85143795,81.39827099
2009,00 Estados Unidos Mexicanos,61.99035188,82.19927861
2010,00 Estados Unidos Mexicanos,62.23419246,83.25266215
2011,00 Estados Unidos Mexicanos,61.29201551,84.05688274
2012,00 Estados Unidos Mexicanos,65.58419852,84.95268142
2013,00 Estados Unidos Mexicanos,63.24392494,87.70405051
2014,00 Estados Unidos Mexicanos,68.07659094,86.77149587
2015,00 Estados Unidos Mexicanos,64.81844775,87.68713723
2016,00 Estados Unidos Mexicanos,66.71724146,85.54491075
2017,00 Estados Unidos Mexicanos,,86.02554985
2018,00 Estados Unidos Mexicanos,,86.29925658
2019,00 Estados Unidos Mexicanos,66.70431651,88.48436133
2020,00 Estados Unidos Mexicanos,64.93892153,91.02303065
2021,00 Estados Unidos Mexicanos,68.53328626,90.97932279
,,,
,,,
Notas y Llamadas:,,,
/a Cifras revisadas para Coahuila y Zacatecas año 2016.<br> Los valores de un trimestre a otro pueden variar debido a revisiones de la información y actualización de datos en serie histórica por parte de la fuente./b A partir del ciclo 2017-2018 el cálculo para este indicador solo comprende dos variables Egresados de bachillerato y Nuevo ingreso a primer grado de bachillerato.,,,
,,,
Fuente:,,,
/f1 SEP. Secretaría de Educación Pública. ,,,
/f2 SEP Secretaría de Educación Pública. Bases de datos del formato 911 de educación media superior (inicio del ciclo escolar).,,,
